Track Name,Tempo Mean,Chroma Mean,Chroma Std,RMS Mean,RMS Std,Mel Spectrogram Mean,Mel Spectrogram Std,Zero Crossing Rate Mean,Zero Crossing Rate Std,Spectral Centroid Mean,Spectral Centroid Std,Spectral Bandwidth Mean,Spectral Bandwidth Std,Spectral Contrast Mean,Spectral Contrast Std,Spectral Flatness Mean,Spectral Flatness Std,Spectral Rolloff Mean,Spectral Rolloff Std,Genre
Nilüfer-Müslüm Gürses,151.99908088235293,0.3548272,0.295104,0.2264409,0.054171655,11.514219,57.55201,0.11834754943847656,0.05152442105712114,2497.2110346707623,639.93904261776,2553.9070146593644,308.8208966719561,23.278672962937183,11.76744194322591,0.022727221,0.026432645,5440.1787185668945,1146.3083628735412,Arabesk
Seni Yazdım-Müslüm Gürses,92.28515625,0.28665534,0.297464,0.21085696,0.038819887,10.102884,51.60603,0.09951400756835938,0.05412715067792312,2341.069236812823,888.7765829862874,2582.1511658587474,591.1693092764048,24.659447492256355,10.56314995254264,0.015011037,0.021387925,5245.168647766113,2114.032285441299,Arabesk
Tutamıyorum Zamanı-Müslüm Gürses,117.45383522727273,0.36103836,0.2923724,0.2755671,0.07162978,17.89838,91.730865,0.09437484741210937,0.0349296895610195,2272.172785272519,494.8622281287201,2521.42686985334,290.48340214383404,22.876566539521598,11.78947420672979,0.014332607,0.015285984,5112.932910919189,1048.1964965641082,Arabesk
Sigara-Müslüm Gürses,80.74951171875,0.32042828,0.29094592,0.22766466,0.06879119,12.429962,75.52784,0.09734649658203125,0.04245114440666979,2136.9765797979844,542.3243828782734,2303.4725414163513,318.61660879383504,23.968540863216308,12.181518357479234,0.012149987,0.017486135,4534.943046569824,1119.9222874138836,Arabesk
Bir Ömür Yetmez-Müslüm Gürses,95.703125,0.35182607,0.30708694,0.20886783,0.07267643,10.642292,62.93655,0.10927925109863282,0.06023249343128351,2701.8412082576624,744.9694662179542,2715.9003810089753,325.1597614376761,23.1531111889052,11.753889960341981,0.022898281,0.023323864,5890.088081359863,1293.7596757146464,Arabesk
Unutamadım - Kaç Kadeh Kırıldı-Müslüm Gürses,172.265625,0.26815397,0.28719696,0.20593345,0.037285767,9.032175,44.111607,0.12509498596191407,0.042101895409679214,2413.8715910691753,442.01280468559,2412.109660912874,279.55988664998307,25.35164797912487,11.75192726294498,0.013068681,0.016206875,5024.125270843506,951.4265014229992,Arabesk
Hangimiz Sevmedik-Müslüm Gürses,92.28515625,0.38394153,0.29565457,0.16678014,0.062973715,5.9520197,38.58424,0.16888999938964844,0.09492588365808646,3039.965061363556,851.8591534931182,2727.4118322628265,253.02966774820348,22.5314808035964,12.196921887395916,0.04270012,0.043904398,6365.778408050537,1074.277069240955,Arabesk
Sende Kalmış-Müslüm Gürses,83.35433467741936,0.21356614,0.30028647,0.10155265,0.03254364,2.5696425,16.1403,0.06634979248046875,0.0201336510312112,1374.3316293128257,255.8385624567822,1668.5145712408853,264.81404666080016,26.53891714415805,12.437560164688662,0.0007999713,0.0009634301,2509.888286590576,901.7938292846331,Arabesk
Affet-Müslüm Gürses,107.666015625,0.37999454,0.29108006,0.228286,0.052732103,11.944315,58.9884,0.11451644897460937,0.046100166795247685,2591.5601654875995,555.0631854965995,2671.986120184264,261.7361405051227,22.43931848926497,12.092815498555186,0.024741778,0.020423857,5794.753189086914,1014.0463970384891,Arabesk
Mutlu Ol Yeter-Müslüm Gürses,161.4990234375,0.2917844,0.3000835,0.2317524,0.04716159,10.936614,51.054768,0.13527946472167968,0.04158909636181095,2636.4723213597995,630.6203402860493,2682.644914407688,390.8034995692168,25.19267150609853,11.124740812675855,0.015148227,0.015213068,5722.482376098633,1536.4850151438393,Arabesk
Gel Bahtımın Kar Beyazı-Müslüm Gürses,103.359375,0.3314787,0.2869456,0.15769053,0.056417603,5.662258,42.9605,0.1246917724609375,0.0478851783192568,2252.5069438752157,526.4777379760638,2290.06842819314,341.64486575898667,24.794996129276758,11.439743140207348,0.013668269,0.023483526,4577.71505355835,1103.7867506739626,Arabesk
Sebepsiz Ayrılık-Müslüm Gürses,117.45383522727273,0.3179025,0.29730257,0.17113285,0.047395505,5.7149134,41.79891,0.20071907043457032,0.06705341022126844,3363.2858267445395,573.3514646997181,2623.8756040115777,216.7463959190898,25.237434916790704,13.611515245798662,0.03197391,0.02703818,6409.795303344727,768.4765268872729,Arabesk
Bir Bilebilsen-Müslüm Gürses,89.10290948275862,0.30659524,0.3095468,0.27635446,0.104832895,19.873545,136.33482,0.09509391784667968,0.051727312013460106,2556.6387074454788,673.9868491001433,2704.61543342298,328.32773150402824,23.37548485517359,12.0991384269891,0.017357713,0.021747421,5836.170959472656,1158.8509552873404,Arabesk
Adını Sen Koy-Müslüm Gürses,89.10290948275862,0.29847595,0.2848259,0.12402568,0.033505052,3.4940343,17.955473,0.11754684448242188,0.02894346299123297,2262.7460266692115,392.36671189795334,2351.0506866058618,316.37755111033204,24.234574498951076,11.790065675833617,0.013188953,0.016138766,4671.729354858398,1003.7875579964755,Arabesk
Küskünüm-Müslüm Gürses,117.45383522727273,0.26983505,0.30596095,0.23094292,0.06044952,12.67629,81.69485,0.08875656127929688,0.0566721110089146,2170.886070333975,750.6153379099854,2356.834112851999,410.5837820832149,24.360439917901186,11.689508900614939,0.012837784,0.024001315,4680.527687072754,1557.4650761153396,Arabesk
Paramparça-Müslüm Gürses,161.4990234375,0.3249223,0.29970083,0.18062267,0.071278885,8.317491,60.143997,0.12015876770019532,0.05982640628565273,2796.393481854613,651.1216020233718,2878.7569655558896,250.63897413769766,23.57083263816801,11.816112764812535,0.023003366,0.026433317,6367.342929840088,1005.8958331128308,Arabesk
Olmadı Yar-Müslüm Gürses,161.4990234375,0.34215102,0.30243218,0.22487314,0.060960963,12.05272,72.57624,0.09626388549804688,0.06255295387269547,2375.804891692083,699.4234921775925,2567.7976952218887,287.3039549145743,23.732591108086563,11.526536953779788,0.015438536,0.01945556,5321.056365966797,1177.2589549151135,Arabesk
Dinleyin Geceler-Müslüm Gürses,103.359375,0.2736737,0.28480172,0.19356084,0.032837003,8.331461,36.73234,0.10394706726074218,0.034119563096964116,2167.296379686287,442.0826624202595,2317.5666441360618,247.54400580636957,25.81644120600692,12.499510331414369,0.006913379,0.008081403,4648.90079498291,927.6145945374785,Arabesk
