Track Name,Tempo Mean,Chroma Mean,Chroma Std,RMS Mean,RMS Std,Mel Spectrogram Mean,Mel Spectrogram Std,Zero Crossing Rate Mean,Zero Crossing Rate Std,Spectral Centroid Mean,Spectral Centroid Std,Spectral Bandwidth Mean,Spectral Bandwidth Std,Spectral Contrast Mean,Spectral Contrast Std,Spectral Flatness Mean,Spectral Flatness Std,Spectral Rolloff Mean,Spectral Rolloff Std,Genre
Yalan Dünya-Neşet Ertaş,107.666015625,0.40437287,0.27228397,0.116736054,0.024619702,2.031403,6.546003,0.1909626007080078,0.0285724736404642,2687.649026039083,336.0147811189458,1905.2927947616931,193.88488470705246,23.406144992386807,13.270727424417455,0.018376265,0.012937144,4610.124206542969,561.9471306450805,Türkü
Gönül Dağı-Neşet Ertaş,129.19921875,0.26403472,0.29561695,0.12561502,0.055451293,4.335365,37.185955,0.08002700805664062,0.03314181437474486,2219.6271180547537,615.9797420421284,2592.9505036915134,427.52048067924596,23.757320193044677,10.868700993900893,0.012685547,0.017236622,5165.378036499023,1669.1922149312982,Türkü
Neredesin Sen-Neşet Ertaş,161.4990234375,0.25439718,0.3010597,0.17052932,0.06924549,7.84381,62.58235,0.07791061401367187,0.020478505796626603,2026.7260015627667,462.66704217009766,2417.1433657806433,361.5221453546417,25.08931846294252,11.690607482537226,0.0050211847,0.0057472996,4599.4921875,1403.9852270741249,Türkü
Yolcu-Neşet Ertaş,172.265625,0.29466274,0.29923978,0.19412331,0.06177456,9.121536,47.420067,0.08563385009765626,0.03671720224400529,1949.0812670806583,557.2598680894401,2311.740530148334,436.8670694451162,24.07069408308758,11.071061461756571,0.007428276,0.009029854,4049.487075805664,1528.2437661422389,Türkü
Sen Benimsin Ben Senin-Neşet Ertaş,83.35433467741936,0.3647269,0.2874178,0.25651985,0.062076245,15.504461,64.41887,0.09559707641601563,0.015544023622972348,1794.771605692392,231.83254162905925,1925.3023660210542,183.76153454836697,23.824129697998426,10.815584223907585,0.004736124,0.0029161728,3898.7714767456055,438.90911012341815,Türkü
Kaşların Karasına-Neşet Ertaş,92.28515625,0.3949568,0.2782658,0.16253866,0.03700406,5.570614,23.010563,0.15948562622070311,0.04763294708831977,3030.4253133532693,551.2109912404163,2882.052909552043,245.60014241173621,22.04109537797853,12.057036835576481,0.049717534,0.034349564,6594.484577178955,1089.022503579378,Türkü
Yazımı Kışa Çevirdin-Neşet Ertaş,89.10290948275862,0.375899,0.28059512,0.10757134,0.034890722,1.6844475,6.0462866,0.1968700408935547,0.036820322096558396,2623.4708616695993,435.62667401345897,1739.384315946923,213.79109241767006,24.974673692241595,13.577145535252418,0.010712582,0.0119577125,4369.953289031982,649.7124084091367,Türkü
Yar imiş Meğer-Neşet Ertaş,117.45383522727273,0.38636786,0.2922135,0.22037247,0.046232145,11.586077,56.756916,0.08286895751953124,0.03653621880245359,2066.520237508515,518.5716535810506,2499.3843940210913,375.58575840300915,22.586965597641747,11.094066440270874,0.012848958,0.011016278,4711.271381378174,1504.1799812168458,Türkü
Kendim Ettim Kendim Buldum-Neşet Ertaş,123.046875,0.23197278,0.29357347,0.14187689,0.091666766,6.6225863,60.416264,0.060076904296875,0.018714598176157525,1436.8126186473905,274.7986156223002,1807.7380985816585,254.0251545326837,25.400544506016132,10.442746921961094,0.0013369186,0.0012057398,3182.6158332824707,941.121086452871,Türkü
Zahide-Neşet Ertaş,135.99917763157896,0.24132721,0.2990066,0.15267105,0.053491384,5.8475776,40.60907,0.08202934265136719,0.03285061286158334,1906.841590387444,607.1753308923422,2087.6272501739904,482.82499469693005,26.668013887878455,11.534308175261726,0.0043973587,0.007123748,4134.963798522949,1586.3089253905966,Türkü
Ahirim Sensin-Neşet Ertaş,184.5703125,0.39254677,0.27567863,0.09317646,0.029382862,1.3497398,4.65978,0.1834857940673828,0.029784801138554973,2508.0828399501456,383.8433505073941,1724.6093687806401,203.7038352288658,24.4382655301594,14.20418870689466,0.009787385,0.008573404,4255.120754241943,615.2773617692321,Türkü
