Track Name,Tempo Mean,Chroma Mean,Chroma Std,RMS Mean,RMS Std,Mel Spectrogram Mean,Mel Spectrogram Std,Zero Crossing Rate Mean,Zero Crossing Rate Std,Spectral Centroid Mean,Spectral Centroid Std,Spectral Bandwidth Mean,Spectral Bandwidth Std,Spectral Contrast Mean,Spectral Contrast Std,Spectral Flatness Mean,Spectral Flatness Std,Spectral Rolloff Mean,Spectral Rolloff Std,Genre
Dibine Kadar-Duman,143.5546875,0.37433085,0.30235583,0.27533036,0.053717118,17.196232,95.41922,0.1008918762207031,0.0250598396089494,2492.3302163078806,297.80695550169764,2641.328603819285,145.9197280862161,21.71782504148516,10.597006218909067,0.021777308,0.011381445,5553.253269195557,667.2645508109688,Rock
Yürek-Duman,86.1328125,0.38697898,0.2836523,0.22877808,0.05115442,11.953957,54.153828,0.0989315032958984,0.0302663180200361,2259.3671688798463,444.0306689994218,2470.420892489791,312.6910732380126,22.40234765547937,11.763572816673427,0.018697968,0.01878512,4808.397903442383,1252.6019709367863,Rock
Senden Daha Güzel-Duman,89.10290948275862,0.3738256,0.29677135,0.25581717,0.10144566,15.282061,95.40888,0.1277244567871093,0.0627011249971427,2381.7324539600945,744.5571184988174,2277.301475896641,513.2164470009228,22.94949177866445,11.62316928518899,0.01679554,0.022227602,4676.843490600586,1669.8941018655887,Rock
Öyle Dertli-Duman,95.703125,0.37337735,0.2879492,0.2890942,0.03448283,17.984385,64.78332,0.1105541229248046,0.0314835248635028,2396.271416511102,469.580682320482,2514.480644476811,280.7176998230257,22.209500483208338,12.459183254031649,0.02397284,0.020166734,4994.012432098389,1191.6164369981277,Rock
Elleri Ellerime-Duman,117.45383522727272,0.4194601,0.28818893,0.24324813,0.056773618,13.520436,76.73162,0.1080829620361328,0.0362196437788482,2415.701341236995,523.6623167928099,2649.892185446158,321.4875444121926,22.69963921681226,10.695011401878952,0.018764911,0.018032728,5404.3377113342285,1408.068871934246,Rock
Kolay Değildir-Duman,107.666015625,0.3456442,0.28307575,0.21645181,0.027960125,9.77902,36.126724,0.1198310852050781,0.0271728369853313,2322.1949688742875,368.0902869168655,2607.148908559232,287.9125603818948,24.098812950360635,10.726956404534072,0.012041004,0.010871708,4955.917167663574,1261.36396377977,Rock
Helal Olsun-Duman,75.99954044117646,0.3590425,0.27951908,0.27848178,0.030381069,16.299723,65.293304,0.1133087158203125,0.0195171493651906,2221.3763168925307,302.8213065456968,2296.0423789443967,282.19242900798463,22.749353649094942,10.802213166841351,0.015493843,0.009973844,4455.093555450439,1043.7292890470492,Rock
Vals-Duman,161.4990234375,0.3645604,0.29533827,0.26338243,0.051074807,16.04608,87.65215,0.080899429321289,0.028374677589551,2155.0147026223417,468.5696551073157,2500.32744687089,315.2002751265182,22.795258453492632,11.023210665663129,0.011676142,0.010624186,4718.530426025391,1331.8859602339571,Rock
Melankoli-Duman,117.45383522727272,0.32430726,0.28966397,0.20079765,0.04880888,9.277907,47.864,0.0968406677246093,0.0372913338489602,2299.8039849825213,613.8924812111349,2486.838471843685,422.58895549234575,23.88520762071052,11.718366911946342,0.015373772,0.016876802,5038.592891693115,1469.7420668991683,Rock
Sor Bana Pişman mıyım-Duman,117.45383522727272,0.36092365,0.29179844,0.2905367,0.070668496,20.561985,124.12065,0.0606975555419921,0.0284744576455573,1556.511796713158,584.4576728523768,2031.7807155757705,507.76390884195695,23.818673778786724,11.64058186962338,0.005396157,0.009638353,3240.671367645264,1506.549477322058,Rock
İyi de Bana Ne-Duman,117.45383522727272,0.37805986,0.2950384,0.17631003,0.077361934,8.365583,69.92799,0.0767322540283203,0.03085852963753,1745.4396365314872,384.8096096030488,2142.8487845246746,364.6633925873732,23.881446448115984,11.02464214317157,0.0043756072,0.004891454,3479.3198204040527,1033.5519902626456,Rock
Gönül İster-Duman,117.45383522727272,0.3857256,0.28382045,0.2723598,0.08281606,17.808212,75.0079,0.0924930572509765,0.0289374136772151,2183.777569197796,464.88316426484334,2529.748866647307,364.9202863291602,22.7936507147453,11.290737774048216,0.016229462,0.0125633655,4932.508220672607,1298.9402256312785,Rock
Bu Aşk Beni Yorar-Duman,117.45383522727272,0.39117724,0.28304446,0.22173877,0.04564718,11.159412,64.19043,0.1005783081054687,0.0339263785278921,2391.946154111325,472.3556987831332,2655.503915948386,250.9998884066151,24.00045798012953,11.33216324078901,0.016267039,0.014385655,5309.684143066406,1214.452708821127,Rock
Seviyorsan İnanıyorsan-Duman,151.99908088235293,0.37844092,0.28040096,0.26705694,0.030192487,14.875829,51.56672,0.1290721893310547,0.0268362745459904,2539.992715926744,349.04654766717044,2482.4153367001886,238.1657298925078,21.914425670502187,12.10374003381238,0.029227275,0.017861953,5218.3867263793945,761.7058646950729,Rock
Balık-Duman,99.38401442307692,0.4051868,0.2937934,0.30246192,0.081293225,19.658844,101.57426,0.1146705627441406,0.0409002483568991,2148.07690110623,502.9484103522775,2131.119525733079,351.7485095398271,23.387657490268737,11.354852713170034,0.011287069,0.016512876,4068.538913726807,1172.7978251767283,Rock
Gönül-Duman,135.99917763157896,0.3799618,0.2859008,0.32636085,0.060114134,22.957256,113.119,0.1255023956298828,0.0494920001565898,2480.8373668708423,549.808251122104,2445.970115167922,258.06164119967707,23.12447315657116,12.3887970967242,0.021501817,0.025042018,5061.968193054199,1091.502540282749,Rock
Senin Marşın-Duman,112.34714673913044,0.35018703,0.29391158,0.26256782,0.06620591,15.962773,84.60351,0.1017051696777343,0.0406382335646057,2299.646942020953,582.4963891204928,2462.002480272069,380.6453740229136,22.873056715449952,11.106592503906418,0.0184466,0.022070788,4927.495021820068,1321.7898407493956,Rock
Sarhoş-Duman,117.45383522727272,0.3668172,0.29598376,0.25349888,0.069440655,15.32587,94.48009,0.0971519470214843,0.0356126162214777,2317.852785952024,547.6239326641354,2506.5805407873795,331.8750382821816,23.455134515686385,11.140416875339518,0.013587959,0.013274551,5046.987476348877,1143.679973389987,Rock
Neredesin Sen-Kurtalan Ekspres,92.28515625,0.33491668,0.2954239,0.23239967,0.051511656,12.819896,66.21575,0.0614589691162109,0.0342368021652584,1560.4429591646715,518.4319316933004,2116.375188472533,425.6264335231192,24.574861438582484,11.141107760488287,0.0037099652,0.00803731,3329.63041305542,1326.7835780106277,Rock
Sevdim Desem-Duman,95.703125,0.44692567,0.2823301,0.21948834,0.06336189,10.733828,50.567745,0.121795654296875,0.0381731038428625,2269.630665496582,507.337573134437,2337.397400781436,338.7010604366976,22.15030984416968,11.280243004027732,0.02044112,0.019882493,4557.342624664307,1206.5545771231198,Rock
Cevapsız Sorular-maNga,95.703125,0.3487077,0.28972965,0.26455173,0.10760457,16.41852,81.15091,0.1267410278320312,0.0561375581721906,2562.4760081698414,718.8569121796219,2534.219154245375,394.5742764741113,23.04064446196179,11.202744734987796,0.026704568,0.02708308,5425.938205718994,1500.0637588922536,Rock
Dursun Zaman (feat. Göksel)-maNga,92.28515625,0.3818987,0.28730413,0.22236447,0.054861348,11.183618,48.886814,0.1213142395019531,0.0581487590495606,2545.636867074233,745.568063721697,2646.758461918488,385.6861913925756,21.84451388060086,11.85269813258782,0.02874068,0.028340872,5577.789344787598,1463.730852684922,Rock
Işıkları Söndürseler Bile-maNga,143.5546875,0.46423742,0.2714536,0.29644585,0.057362642,19.700739,92.371765,0.1219680786132812,0.0559633106474807,2663.88110563306,715.3593178376382,2660.206393265243,299.6173411518622,21.20755720809901,11.760573853317362,0.034216207,0.028743487,5677.237415313721,1257.2865508648515,Rock
Yine Yeni Yeniden - Yeniden Sev-maNga,135.99917763157896,0.4697054,0.2767438,0.3038934,0.07649277,21.47532,128.12,0.1156776428222656,0.0381164846962293,2756.4313555857107,416.2842542450553,2749.770002506623,189.67288131105028,22.13940081074957,11.38761730718053,0.026369995,0.016818037,6068.948249816895,730.4765020763234,Rock
Dünyanın Sonuna Doğmuşum-maNga,135.99917763157896,0.3382101,0.2885628,0.30786762,0.06602932,19.2273,91.28667,0.1529712677001953,0.0416709610250231,2801.7813390226843,458.6167790196971,2508.218789135501,214.9676526597448,22.50985811973088,11.506441718446151,0.035821028,0.029600358,5650.699424743652,837.0414708831674,Rock
Bir Kadın Çizeceksin-maNga,123.046875,0.37664708,0.29167047,0.2225465,0.07383062,11.748542,56.916367,0.1062648773193359,0.0533446361474966,2302.7372460296365,792.7417083148354,2410.280080028494,464.4846397469616,22.164521785964105,12.19642160246885,0.024945946,0.024477905,4814.336357116699,1716.7859512193706,Rock
We Could Be The Same - Istanbul-maNga,135.99917763157896,0.37408447,0.2844436,0.27383024,0.06721045,16.17731,77.99588,0.1449329376220703,0.0510174699375398,2876.732939530269,609.2606760862905,2693.677189565632,284.9583760811646,22.373611461022072,11.684890671601384,0.037719563,0.027353212,6086.965484619141,1024.4907031222208,Rock
Yad Eller-maNga,135.99917763157896,0.4305872,0.27440208,0.2410477,0.05555101,12.070608,66.97632,0.1659439086914062,0.0475623448271215,3009.209268173155,491.9228042602482,2624.3861716703914,208.7788281393781,21.669686068596743,12.281699858388569,0.047003355,0.028277123,6038.843822479248,725.2235140733314,Rock
Beni Benimle Bırak-maNga,151.99908088235293,0.36694977,0.29058003,0.27972212,0.06971987,16.719498,86.51923,0.1393901824951172,0.050433813354895,2714.777614289959,538.1996282002088,2579.815891636029,222.39339739011731,22.63961672066169,11.175843595009308,0.030591423,0.02711876,5628.964347839356,972.0765619730169,Rock
Haykıracak Nefesim Kalmasa Bile-maNga,129.19921875,0.4460635,0.28048226,0.1805515,0.055754766,7.706529,46.146797,0.133837890625,0.0749428675521257,2845.0893793667847,784.21405727179,2792.151618329325,259.23605629332553,22.05864989189995,12.039944274948969,0.035374533,0.03146233,6229.210796356201,1173.356138869702,Rock
Hint Kumaşı-maNga,143.5546875,0.44900444,0.27891546,0.27526736,0.056549843,17.054552,93.91146,0.1259811401367187,0.0361395027758564,2807.582542610115,423.251498472005,2766.345188876775,183.8071171863787,20.944606314698103,11.811114191630686,0.035190247,0.018866288,6210.697288513184,693.8506569139261,Rock
Bitti Rüya-maNga,89.10290948275862,0.39581618,0.27479008,0.2308275,0.053936776,10.892393,44.236855,0.1643257141113281,0.0620602696213355,2997.892985942097,687.4554524675527,2652.4235058759964,331.1048090036928,21.819799126520746,11.980153702061898,0.04537828,0.032172646,6076.013832092285,1087.1105281441069,Rock
Her Aşk Ölümü Tadacak-maNga,129.19921875,0.40560517,0.2865175,0.3272423,0.055640586,21.666624,92.10192,0.1517723083496093,0.0443227388504266,2900.9089387591275,508.5324312175895,2701.1875560075314,244.80808752303173,21.88674977819834,11.36253670016201,0.043506518,0.032669734,6136.1301612854,936.4768392074736,Rock
Fly to Stay Alive-maNga,75.99954044117646,0.41685912,0.27701047,0.31628984,0.059472136,21.041199,97.72182,0.1616050720214843,0.0470466978381823,3034.2584278919703,529.9361177450263,2756.972313056146,231.96271308622096,21.72490759906361,11.709710833554514,0.0456659,0.02758938,6296.55252456665,853.4028541914134,Rock
El Aman-maNga,69.83741554054055,0.38434762,0.28400406,0.2963333,0.06585221,20.66407,93.91767,0.0828666687011718,0.0289769797352787,2092.073365305684,437.40993775887154,2387.217066114506,260.02495247764506,22.931626515178294,12.242163414689315,0.012459757,0.011386578,4759.393043518066,943.1833809263396,Rock
İz Bırakanlar Unutulmaz (feat. Vega)-maNga,112.34714673913044,0.40908304,0.2902195,0.23393854,0.09662368,13.244519,74.02376,0.102056884765625,0.0559203785128234,2203.509025065906,833.5639191222873,2199.7545494094934,651.2322461834927,22.50004123757448,11.33094885734891,0.020703506,0.024207363,4531.923351287842,1652.6495479713608,Rock
Alışırım Gözlerimi Kapamaya-maNga,92.28515625,0.31521448,0.28038472,0.2891122,0.0573894,17.522024,76.29528,0.1404296875,0.0357006655206943,2720.241077097403,400.80932772143086,2550.589638725328,211.07887616519028,23.034001939584694,12.128099570479751,0.031412803,0.022512069,5594.191589355469,808.4708229514848,Rock
Fazla Aşkı Olan Var Mı?-maNga,151.99908088235293,0.4507141,0.27409914,0.31060332,0.040071614,21.837091,95.295204,0.091476821899414,0.0240503496207471,2440.8709007326456,352.2371824815188,2631.2435727928946,217.61750679196177,21.196763638800174,12.281701621071148,0.021154199,0.012938693,5472.394409179688,787.5195459532969,Rock
Şimdi Göğe Dolduk-maNga,129.19921875,0.35690007,0.28703037,0.2563095,0.063502,14.451686,70.47562,0.1326488494873046,0.0513354091069372,2595.8140769129213,489.75902638337527,2488.744297725778,171.869253685056,22.733080452616488,12.233349664127664,0.02622435,0.021413445,5422.968978881836,701.7354086231704,Rock
Yalan-maNga,95.703125,0.39322364,0.28129348,0.2529122,0.038459387,13.271072,50.02128,0.1381019592285156,0.0400746773791871,2664.244077631144,482.2568316556797,2548.645660240193,232.2075014991564,22.191329478957574,12.49698910469223,0.031603795,0.0225009,5546.440029144287,982.653383592685,Rock
Hayat Bu İşte-maNga,89.10290948275862,0.3351256,0.2820992,0.28038144,0.057642546,17.123333,69.98954,0.1200286865234375,0.0368881961226099,2438.912450375351,490.6224694751522,2463.5511289837714,306.43740338758903,22.767263704340028,12.12444012607077,0.02286155,0.021292413,5186.936473846436,1125.8571567787988,Rock
En Güzel Şarkım-maNga,107.666015625,0.45068446,0.28011486,0.2850298,0.064532265,18.912695,99.90319,0.1018051147460937,0.052603938218583,2321.3171931835345,744.1789722042168,2457.655021652111,385.47212938416914,21.982276844508377,12.268803245442223,0.019144844,0.0233469,4940.566349029541,1385.9635698295174,Rock
Alacaklı Topraklar-maNga,117.45383522727272,0.4442752,0.25823313,0.23271425,0.060861215,11.401812,47.994316,0.1341644287109375,0.0388138475735086,2261.386612492423,450.1579776381234,2094.7948244184468,326.4698784221933,22.20235531454396,12.739776420172598,0.022069285,0.019960308,4328.838329315186,943.7943128583556,Rock
Kandırma Kendini-maNga,117.45383522727272,0.45747226,0.2730816,0.3289599,0.07668397,24.717213,118.426216,0.1085884094238281,0.0349816230412951,2454.759188534309,468.3188673806827,2525.7241955754844,265.86283846154714,21.434873536307197,12.712787948616832,0.021759968,0.018383224,5303.855037689209,984.3244047343472,Rock
Zor-maNga,123.046875,0.33374676,0.27289563,0.29788843,0.056532677,20.034794,107.86973,0.1037940979003906,0.025839007126473,2368.2732987751224,372.45232380682256,2453.015665723263,234.26801903577288,23.73755546591459,11.890535486056296,0.0162144,0.013776406,5020.213966369629,822.5117288840478,Rock
Ben Bir Palyaçoyum-maNga,135.99917763157896,0.39007238,0.28792474,0.22984552,0.04336087,11.15431,47.70406,0.1368518829345703,0.0518860395354624,2697.202633626221,575.9542846425326,2536.759169729281,339.5810197433974,23.1402902459897,11.502967436339055,0.030443529,0.027732855,5589.708309173584,1128.37782007263,Rock
